LOT_NO,feature,mean_abs_shap
HZB05,소입로_온도_2_Zone_max,1.1192779541015625e-05
HZB05,건조로_온도_2_Zone_max,8.568967580795288e-06
HZB05,솔트조_온도_2_Zone_std,7.767922282218933e-06
HZB05,소입로_온도_4_Zone_range,7.675678133964539e-06
HZB05,세정기_std,7.123792171478271e-06
HZB05,소입로_온도_1_Zone_mean,5.6179195642471315e-06
HZB05,솔트_컨베이어_온도_2_Zone_std,2.9586338996887206e-06
HZB05,솔트조_온도_1_Zone_mean,2.5776857137680053e-06
HZB05,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZB05,솔트조_온도_1_Zone_min,1.65690079331398e-06
HZB08,소입로_온도_1_Zone_mean,1.536877393722534e-05
HZB08,소입로_온도_4_Zone_range,1.1228809356689453e-05
HZB08,소입로_온도_2_Zone_max,5.883996486663818e-06
HZB08,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZB08,건조로_온도_2_Zone_max,3.1199848651885985e-06
HZB08,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZB08,세정기_std,2.0983535051345824e-06
HZB08,솔트조_온도_1_Zone_mean,2.0814073085784912e-06
HZB08,솔트조_온도_2_Zone_std,2.2105216979980468e-07
HZB08,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZB09,소입로_온도_1_Zone_mean,1.4051332473754883e-05
HZB09,소입로_온도_4_Zone_range,9.569610357284546e-06
HZB09,소입로_온도_2_Zone_max,6.276262998580933e-06
HZB09,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZB09,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZB09,솔트조_온도_2_Zone_std,4.031352698802948e-06
HZB09,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZB09,건조로_온도_2_Zone_max,2.142241895198822e-06
HZB09,세정기_std,2.0983535051345824e-06
HZB09,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZB10,소입로_온도_1_Zone_mean,1.6325918436050415e-05
HZB10,건조로_온도_2_Zone_max,1.2479939460754394e-05
HZB10,소입로_온도_4_Zone_range,8.14973533153534e-06
HZB10,소입로_온도_2_Zone_max,6.276262998580933e-06
HZB10,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZB10,솔트조_온도_2_Zone_std,5.08186936378479e-06
HZB10,세정기_std,3.893754482269287e-06
HZB10,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZB10,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZB10,솔트조_온도_1_Zone_mean,8.592285960912705e-07
HZB11,소입로_온도_1_Zone_mean,1.5695996284484864e-05
HZB11,소입로_온도_2_Zone_max,1.0493232011795045e-05
HZB11,건조로_온도_2_Zone_max,8.568967580795288e-06
HZB11,소입로_온도_4_Zone_range,7.675678133964539e-06
HZB11,솔트조_온도_1_Zone_min,4.06865268945694e-06
HZB11,세정기_std,2.624554932117462e-06
HZB11,솔트조_온도_1_Zone_mean,2.5776857137680053e-06
HZB11,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZB11,솔트조_온도_2_Zone_std,1.075240671634674e-06
HZB11,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC01,소입로_온도_1_Zone_mean,1.4051332473754883e-05
HZC01,소입로_온도_4_Zone_range,9.569610357284546e-06
HZC01,소입로_온도_2_Zone_max,6.276262998580933e-06
HZC01,솔트조_온도_1_Zone_mean,6.244221925735474e-06
HZC01,솔트조_온도_1_Zone_min,5.063878297805786e-06
HZC01,솔트조_온도_2_Zone_std,4.031352698802948e-06
HZC01,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZC01,건조로_온도_2_Zone_max,2.142241895198822e-06
HZC01,세정기_std,2.0983535051345824e-06
HZC01,소입로_온도_4_Zone_max,1.6880759596824645e-06
HZC02,소입로_온도_1_Zone_mean,1.5695996284484864e-05
HZC02,소입로_온도_2_Zone_max,1.0493232011795045e-05
HZC02,건조로_온도_2_Zone_max,8.568967580795288e-06
HZC02,소입로_온도_4_Zone_range,7.675678133964539e-06
HZC02,솔트조_온도_1_Zone_min,4.06865268945694e-06
HZC02,세정기_std,2.624554932117462e-06
HZC02,솔트조_온도_1_Zone_mean,2.5776857137680053e-06
HZC02,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
HZC02,솔트조_온도_2_Zone_std,1.075240671634674e-06
HZC02,소입로_온도_4_Zone_max,1.0223627090454102e-07
HZC03,소입로_온도_1_Zone_mean,1.6133683919906615e-05
HZC03,소입로_온도_4_Zone_max,1.23172926902771e-05
HZC03,소입로_온도_4_Zone_range,1.116085410118103e-05
HZC03,솔트조_온도_1_Zone_min,5.626532435417175e-06
HZC03,솔트조_온도_2_Zone_std,5.08186936378479e-06
HZC03,세정기_std,3.893754482269287e-06
HZC03,소입로_온도_2_Zone_max,3.6570703983306885e-06
HZC03,솔트_컨베이어_온도_2_Zone_std,2.5359714031219483e-06
